id,neighbourhood_cleansed,latitude,longitude,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
3419211,Mission,37.74866918,-122.4213935,$165.00 ,$950.00 ,"$4,100.00 ",,$80.00 ,1,$0.00 
273452,Mission,37.76864954,-122.42457,$189.00 ,"$1,100.00 ","$3,200.00 ",$200.00 ,$75.00 ,2,$25.00 
5008402,Mission,37.76601194,-122.4229685,$150.00 ,,,,$75.00 ,1,$20.00 
10586068,Mission,37.75845746,-122.4086654,$250.00 ,,,$500.00 ,$95.00 ,1,$0.00 
13802791,Mission,37.757922,-122.4141182,$250.00 ,,,$200.00 ,$100.00 ,1,$0.00 
8213336,Mission,37.75877365,-122.4108145,$120.00 ,"$1,300.00 ",,,$60.00 ,1,$0.00 
2502368,Mission,37.74979106,-122.4087655,$99.00 ,$735.00 ,,,$35.00 ,1,$0.00 
7492644,Mission,37.76573017,-122.4209976,$158.00 ,"$1,100.00 ",,,,1,$0.00 
3079665,Mission,37.76058002,-122.4254066,$100.00 ,"$1,100.00 ","$5,000.00 ",$200.00 ,$125.00 ,1,$25.00 
470686,Mission,37.7673056,-122.4254201,$125.00 ,,,$250.00 ,$35.00 ,1,$20.00 
3194136,Mission,37.75884751,-122.4059452,$80.00 ,$400.00 ,"$1,800.00 ",,,1,$20.00 
12906085,Mission,37.76845419,-122.4216172,$69.00 ,,,$175.00 ,$29.00 ,1,$15.00 
8597092,Mission,37.75696962,-122.4076487,$85.00 ,,,,,1,$15.00 
1060442,Mission,37.74847017,-122.417238,$200.00 ,"$1,400.00 ","$4,000.00 ",,$100.00 ,2,$0.00 
6913294,Mission,37.75597989,-122.4152521,$115.00 ,,,$250.00 ,,2,$10.00 
9776134,Mission,37.77037944,-122.4222524,$95.00 ,,,,$30.00 ,1,$0.00 
12266463,Mission,37.76725835,-122.4223948,$194.00 ,,,$298.00 ,$85.00 ,1,$0.00 
17574877,Mission,37.76006538,-122.4186564,$215.00 ,,,$500.00 ,$20.00 ,1,$0.00 
1928125,Mission,37.75454377,-122.4111001,$155.00 ,$950.00 ,"$3,400.00 ",$750.00 ,$95.00 ,1,$0.00 
9726878,Mission,37.75469124,-122.4226532,$800.00 ,,,,,1,$0.00 
2304925,Mission,37.75239589,-122.4129407,$45.00 ,$500.00 ,"$1,800.00 ",,$20.00 ,1,$15.00 
212297,Mission,37.7674576,-122.4232362,$120.00 ,,,$500.00 ,$50.00 ,2,$100.00 
11069241,Mission,37.75796429,-122.4197255,$150.00 ,,,,$75.00 ,1,$0.00 
748256,Mission,37.75495392,-122.4168309,$110.00 ,,,,$30.00 ,1,$10.00 
8088394,Mission,37.76400671,-122.4175282,$400.00 ,"$2,500.00 ",,,$150.00 ,4,$0.00 
2557977,Mission,37.74991628,-122.4082173,$135.00 ,$870.00 ,,,$40.00 ,1,$0.00 
3985721,Mission,37.75243517,-122.4152028,$100.00 ,"$1,021.00 ",,,,1,$0.00 
13249335,Mission,37.75219564,-122.4170061,$100.00 ,,,,,1,$0.00 
17791068,Mission,37.75465229,-122.4101758,$200.00 ,,,,,1,$0.00 
16673580,Mission,37.75767012,-122.4174079,$70.00 ,,,,$40.00 ,1,$10.00 
4500244,Mission,37.75742313,-122.4236494,$145.00 ,$975.00 ,,"$1,500.00 ",$110.00 ,1,$0.00 
715543,Mission,37.76374505,-122.4124976,$180.00 ,"$1,200.00 ",,$500.00 ,$100.00 ,2,$25.00 
4926230,Mission,37.75750508,-122.4235015,$200.00 ,,,,,1,$0.00 
12905241,Mission,37.76173049,-122.4256579,"$1,750.00 ",,,"$5,000.00 ",$200.00 ,1,$0.00 
16117102,Mission,37.75522798,-122.4179171,$450.00 ,,,,,1,$0.00 
