id,neighbourhood_cleansed,latitude,longitude,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
6245649,Outer Sunset,37.75963525,-122.5063976,$135.00 ,"$2,000.00 ",,$300.00 ,$75.00 ,1,$30.00 ,1,1125,today,,12,35,52,303,49,6/21/2015,3/28/2017,98,10,10,10,10,10,10,1,2.25
3343907,Outer Sunset,37.75014215,-122.4942169,$80.00 ,,,,,1,$0.00 ,1,7,3 months ago,,0,0,0,0,0,,,,,,,,,,1,
10833987,Outer Sunset,37.76359913,-122.4857357,$70.00 ,,,,,1,$0.00 ,2,10,14 months ago,,0,0,0,0,0,,,,,,,,,,1,
14340124,Outer Sunset,37.76332743,-122.5017127,$120.00 ,,,,$70.00 ,3,$20.00 ,1,1125,6 weeks ago,,6,17,32,66,57,8/8/2016,4/1/2017,95,10,10,10,10,10,10,1,7.18
16125990,Outer Sunset,37.75881053,-122.4896335,$40.00 ,,,$100.00 ,$35.00 ,1,$0.00 ,1,1125,4 months ago,,0,0,0,0,0,,,,,,,,,,3,
17371171,Outer Sunset,37.75135949,-122.4773924,$32.00 ,,,,,1,$0.00 ,2,1125,3 days ago,,0,0,13,93,5,3/4/2017,3/19/2017,96,10,10,10,10,10,10,2,5
14142409,Outer Sunset,37.76089791,-122.4776873,$109.00 ,$770.00 ,"$2,800.00 ",,$40.00 ,2,$30.00 ,1,1125,2 days ago,,9,19,49,226,52,7/26/2016,3/15/2017,86,9,9,10,9,9,9,1,6.22
16376353,Outer Sunset,37.74907543,-122.48171,$77.00 ,,,$300.00 ,$20.00 ,1,$0.00 ,1,19,3 weeks ago,,11,21,31,270,17,1/30/2017,3/31/2017,100,10,10,10,10,9,10,2,8.1
17009854,Outer Sunset,37.76509521,-122.4785767,$299.00 ,,,$300.00 ,$100.00 ,5,$30.00 ,1,28,today,,17,41,60,311,3,2/16/2017,3/9/2017,80,9,7,10,10,9,9,1,1.96
15558562,Outer Sunset,37.76450763,-122.477834,$160.00 ,,,,$130.00 ,1,$0.00 ,1,1125,today,,10,28,44,292,18,11/13/2016,3/19/2017,93,9,9,10,10,9,9,2,3.83
3082327,Outer Sunset,37.75676561,-122.4889142,$80.00 ,$530.00 ,,,,1,$0.00 ,2,21,yesterday,,14,20,25,263,216,5/23/2014,3/22/2017,97,10,10,10,10,9,10,2,6.2
10874971,Outer Sunset,37.76101631,-122.5055383,$950.00 ,,,,$150.00 ,4,$50.00 ,2,1125,11 months ago,,0,0,0,0,0,,,,,,,,,,1,
1135287,Outer Sunset,37.74740362,-122.4872831,$109.00 ,$755.00 ,"$2,980.00 ",$500.00 ,$85.00 ,1,$30.00 ,10,365,a week ago,,30,60,90,365,9,9/4/2013,10/17/2016,84,9,10,9,8,9,8,5,0.21
10367010,Outer Sunset,37.76013254,-122.4956187,$99.00 ,$900.00 ,,$150.00 ,$50.00 ,1,$0.00 ,1,1125,2 months ago,,14,39,67,329,48,2/15/2016,3/31/2017,99,10,10,10,10,10,10,1,3.49
274334,Outer Sunset,37.7534598,-122.5035849,$70.00 ,,"$1,250.00 ",,,1,$7.00 ,30,365,4 weeks ago,,0,5,5,236,49,1/7/2012,12/1/2016,95,10,9,10,10,9,9,1,0.77
9780615,Outer Sunset,37.76136997,-122.5035928,$130.00 ,,,,$70.00 ,3,$25.00 ,1,1125,3 weeks ago,,7,22,30,32,93,12/19/2015,3/28/2017,96,10,10,10,10,10,10,1,5.92
11319787,Outer Sunset,37.7562834,-122.506494,$160.00 ,,,$500.00 ,$100.00 ,2,$20.00 ,1,1125,today,,4,17,34,282,22,5/20/2016,2/19/2017,95,10,10,10,10,9,9,1,2.08
998701,Outer Sunset,37.76108651,-122.5066938,$97.00 ,,,$100.00 ,,2,$0.00 ,2,6,2 days ago,,0,1,1,30,135,4/2/2013,3/26/2017,99,10,10,10,10,10,10,1,2.77
17543814,Outer Sunset,37.74988696,-122.4776792,$32.00 ,,,,,1,$0.00 ,2,1125,4 days ago,,19,41,57,105,2,3/20/2017,3/22/2017,100,10,10,10,10,8,10,2,2
13573391,Outer Sunset,37.76395953,-122.5021767,$145.00 ,,,$100.00 ,$70.00 ,2,$75.00 ,3,10,3 weeks ago,,7,7,7,7,2,7/11/2016,9/6/2016,100,10,9,10,10,10,10,1,0.23
7950946,Outer Sunset,37.76351348,-122.4979137,$300.00 ,$490.00 ,"$1,750.00 ",$500.00 ,,1,$0.00 ,1,1125,2 days ago,,0,27,57,332,8,8/7/2016,10/22/2016,95,10,10,10,10,10,10,1,1
2101365,Outer Sunset,37.7510021,-122.4768016,$81.00 ,$870.00 ,"$1,300.00 ",,$20.00 ,1,$10.00 ,2,14,2 months ago,,0,0,26,116,22,3/20/2014,2/13/2017,92,9,9,10,9,9,9,1,0.59
15150657,Outer Sunset,37.75903596,-122.4794706,$425.00 ,,,,$100.00 ,1,$0.00 ,3,1125,3 months ago,,29,59,89,364,1,10/8/2016,10/8/2016,100,10,10,10,10,10,10,1,0.17
7712235,Outer Sunset,37.74550467,-122.5052897,$190.00 ,,,,,1,$0.00 ,1,1125,13 months ago,,0,0,0,0,2,3/16/2016,3/17/2016,100,10,10,10,10,10,10,1,0.16
1615158,Outer Sunset,37.75578278,-122.498341,$85.00 ,$547.00 ,"$1,932.00 ",,$40.00 ,1,$20.00 ,1,1125,today,,8,24,51,321,88,9/16/2013,1/2/2017,95,10,10,10,10,10,10,3,2.04
10972560,Outer Sunset,37.76374774,-122.5066198,"$1,100.00 ",,,$500.00 ,,1,$0.00 ,1,1125,14 months ago,,0,0,0,0,0,,,,,,,,,,1,
17444005,Outer Sunset,37.76071668,-122.5080865,$169.00 ,,,$100.00 ,$50.00 ,1,$0.00 ,2,27,today,,12,32,46,305,1,3/30/2017,3/30/2017,100,10,10,10,10,10,10,1,1
13511841,Outer Sunset,37.74817535,-122.501154,$350.00 ,,,$500.00 ,$130.00 ,1,$0.00 ,14,31,2 months ago,,27,57,87,87,0,,,,,,,,,,2,
15149013,Outer Sunset,37.75242103,-122.4998404,$89.00 ,,,,$20.00 ,1,$0.00 ,1,1125,6 months ago,,29,59,89,179,2,9/25/2016,3/29/2017,90,10,10,9,10,10,9,3,0.32
12741695,Outer Sunset,37.76068614,-122.5028289,$109.00 ,,,,$25.00 ,2,$25.00 ,1,30,today,,4,10,22,237,69,8/18/2016,3/30/2017,99,10,10,10,10,10,10,2,9.08
8842990,Outer Sunset,37.75097871,-122.5033021,$90.00 ,,,,$30.00 ,1,$0.00 ,3,1125,16 months ago,,0,0,0,0,0,,,,,,,,,,1,
982298,Outer Sunset,37.74984269,-122.5085211,$495.00 ,,,$600.00 ,$195.00 ,5,$60.00 ,2,28,today,,24,48,74,335,40,5/16/2013,9/27/2016,93,9,9,9,10,9,9,1,0.85
14118533,Outer Sunset,37.7583197,-122.5107562,$161.00 ,,,$500.00 ,$100.00 ,2,$25.00 ,2,1125,a week ago,,0,22,52,327,15,7/24/2016,2/16/2017,97,10,10,10,10,10,10,1,1.78
8859249,Outer Sunset,37.76419494,-122.4909166,$150.00 ,,,$500.00 ,$60.00 ,2,$20.00 ,2,1125,yesterday,,15,30,60,320,82,11/5/2015,3/29/2017,98,10,10,10,10,10,10,1,4.78
4287481,Outer Sunset,37.76295281,-122.4832434,$140.00 ,$800.00 ,,$500.00 ,$60.00 ,2,$10.00 ,2,21,yesterday,,2,9,23,262,142,10/30/2014,3/16/2017,90,9,9,10,10,9,9,1,4.81
2747383,Outer Sunset,37.75966254,-122.508496,$295.00 ,,,$400.00 ,$75.00 ,4,$25.00 ,2,1125,3 days ago,,11,40,57,317,80,4/19/2014,3/31/2017,95,10,10,10,10,9,9,1,2.22
14052306,Outer Sunset,37.75532354,-122.5084929,$75.00 ,,,,,1,$10.00 ,30,90,3 days ago,,30,60,90,121,22,11/17/2016,2/18/2017,89,9,9,10,9,10,9,7,4.82
1142101,Outer Sunset,37.75726938,-122.500994,$300.00 ,"$1,750.00 ",,,$100.00 ,6,$50.00 ,3,21,3 weeks ago,,0,0,19,71,9,7/12/2014,1/3/2017,93,10,10,10,10,9,10,1,0.27
10906924,Outer Sunset,37.7615373,-122.4857256,$65.00 ,,,,,1,$0.00 ,2,1125,5 days ago,,0,0,0,60,2,2/11/2016,7/19/2016,50,7,4,8,4,9,4,1,0.14
5760881,Outer Sunset,37.74963799,-122.5060998,$125.00 ,$775.00 ,,$95.00 ,$20.00 ,1,$0.00 ,1,1125,2 weeks ago,,25,53,83,358,41,10/19/2015,10/17/2016,95,10,10,10,10,10,10,1,2.31
3386024,Outer Sunset,37.75176591,-122.5049039,$100.00 ,,,$500.00 ,$100.00 ,2,$100.00 ,2,7,14 months ago,,0,0,0,0,2,8/1/2014,4/7/2016,100,10,10,10,10,10,10,1,0.06
13867534,Outer Sunset,37.76194322,-122.4802331,$69.00 ,,,,$10.00 ,1,$0.00 ,2,15,7 months ago,,0,0,0,0,4,7/17/2016,9/18/2016,100,10,10,10,10,10,10,1,0.46
7852469,Outer Sunset,37.75546338,-122.5080952,$250.00 ,"$1,550.00 ","$5,600.00 ",$250.00 ,$75.00 ,6,$50.00 ,3,30,3 days ago,,0,3,6,67,71,9/5/2015,3/25/2017,95,10,10,10,10,9,10,1,3.7
9611854,Outer Sunset,37.76394785,-122.4996286,$190.00 ,,,$500.00 ,$90.00 ,1,$0.00 ,3,1125,2 weeks ago,,16,46,46,46,23,2/2/2016,3/29/2017,100,10,10,10,10,10,10,1,1.62
14257108,Outer Sunset,37.74537753,-122.5074062,$199.00 ,,,,,1,$0.00 ,2,14,2 months ago,,1,31,60,60,2,8/7/2016,8/15/2016,100,10,9,10,10,9,9,2,0.25
11497890,Outer Sunset,37.75653456,-122.5088026,$130.00 ,,,,$50.00 ,1,$0.00 ,2,15,13 months ago,,0,0,0,0,0,,,,,,,,,,1,
9316530,Outer Sunset,37.75222414,-122.507843,$150.00 ,,,$500.00 ,$250.00 ,1,$0.00 ,30,1125,today,,23,45,73,329,5,7/30/2016,12/16/2016,100,10,10,10,10,10,10,1,0.61
8153250,Outer Sunset,37.75459245,-122.4981408,$300.00 ,$922.00 ,,,$80.00 ,1,$0.00 ,2,27,5 days ago,,4,8,8,25,22,9/8/2015,1/3/2017,96,10,10,10,10,9,9,1,1.15
13175533,Outer Sunset,37.75389865,-122.5010121,$140.00 ,,,,$75.00 ,1,$0.00 ,2,1125,a week ago,,13,29,59,331,36,6/14/2016,3/31/2017,99,10,10,10,10,10,10,1,3.69
15148862,Outer Sunset,37.75171413,-122.4993429,$89.00 ,,,,,1,$0.00 ,1,1125,3 weeks ago,,15,45,72,153,2,10/12/2016,12/29/2016,100,10,10,10,10,10,10,3,0.35
1337098,Outer Sunset,37.76149706,-122.503735,$159.00 ,$879.00 ,"$3,751.00 ",$400.00 ,$90.00 ,1,$0.00 ,3,28,today,,0,25,55,326,129,8/4/2013,3/12/2017,87,9,9,10,10,9,9,1,2.89
8018902,Outer Sunset,37.74666442,-122.5025599,$70.00 ,$600.00 ,"$2,100.00 ",,,1,$0.00 ,1,1125,today,,14,32,32,32,31,9/17/2015,3/31/2017,95,10,10,10,10,10,9,1,1.65
2959642,Outer Sunset,37.7602816,-122.487042,$225.00 ,"$1,800.00 ",,$500.00 ,$180.00 ,4,$100.00 ,2,1125,2 weeks ago,,12,24,49,316,14,8/25/2014,2/26/2017,91,10,9,9,9,9,9,1,0.44
11461920,Outer Sunset,37.76075123,-122.5066116,$320.00 ,,,,$120.00 ,4,$25.00 ,2,60,3 weeks ago,,7,14,44,44,19,3/16/2016,3/19/2017,96,10,10,10,10,9,9,1,1.49
2305140,Outer Sunset,37.75805958,-122.5077478,$275.00 ,,,,$60.00 ,4,$50.00 ,2,365,5 days ago,,17,17,17,168,37,2/27/2014,9/26/2016,96,10,10,10,10,10,10,1,0.98
14452358,Outer Sunset,37.75296064,-122.5064656,$220.00 ,,,"$1,000.00 ",$125.00 ,4,$25.00 ,2,1125,today,,2,12,28,239,3,9/22/2016,2/15/2017,100,10,10,10,10,10,10,1,0.47
6934867,Outer Sunset,37.75633847,-122.5036482,$520.00 ,,,$300.00 ,$175.00 ,5,$25.00 ,1,1125,today,,13,41,71,346,11,12/23/2015,3/25/2017,93,9,10,10,10,9,9,3,0.71
17844924,Outer Sunset,37.76339026,-122.5078367,$80.00 ,,,,,1,$0.00 ,1,30,today,,11,18,26,55,0,,,,,,,,,,1,
10428872,Outer Sunset,37.76244474,-122.5072784,$200.00 ,,,$200.00 ,$150.00 ,1,$0.00 ,7,1125,7 months ago,,29,59,89,364,3,3/5/2016,9/8/2016,100,10,10,10,10,10,10,1,0.23
13363080,Outer Sunset,37.74747482,-122.5016667,$90.00 ,,,$100.00 ,$40.00 ,1,$0.00 ,4,1125,4 weeks ago,,1,31,61,61,1,7/20/2016,7/20/2016,,,,,,,,2,0.12
6055808,Outer Sunset,37.75262838,-122.4976165,$165.00 ,$995.00 ,"$3,995.00 ",$200.00 ,$50.00 ,2,$25.00 ,5,120,9 months ago,,0,0,0,270,5,5/25/2015,6/25/2016,88,9,10,10,10,9,10,1,0.22
4252808,Outer Sunset,37.75733976,-122.508541,$130.00 ,,"$3,200.00 ",$350.00 ,$50.00 ,2,$25.00 ,2,30,2 weeks ago,,2,5,8,157,106,1/18/2016,3/10/2017,99,10,10,10,10,10,10,1,7.21
